horsepower, highway MPG, price
1.160000000000000000e+02,3.000000000000000000e+01,1.724269667447024403e+04
1.160000000000000000e+02,3.000000000000000000e+01,1.525861427814647323e+04
6.900000000000000000e+01,3.700000000000000000e+01,7.661805631440907746e+03
5.500000000000000000e+01,5.000000000000000000e+01,6.462997233710116234e+03
6.900000000000000000e+01,3.700000000000000000e+01,9.555875384267883419e+03
6.900000000000000000e+01,3.700000000000000000e+01,1.293166010942215871e+04
6.900000000000000000e+01,3.700000000000000000e+01,5.798670271374313643e+02
6.900000000000000000e+01,3.700000000000000000e+01,1.225531699251390137e+03
6.900000000000000000e+01,3.700000000000000000e+01,1.005697330053531459e+03
6.900000000000000000e+01,3.700000000000000000e+01,1.524585127415503393e+03
6.900000000000000000e+01,3.700000000000000000e+01,2.941169199922077314e+04
6.900000000000000000e+01,3.700000000000000000e+01,1.650556158238050193e+04
9.700000000000000000e+01,3.400000000000000000e+01,1.343482096633112803e+02
9.700000000000000000e+01,3.400000000000000000e+01,7.335505372325046665e+03
1.520000000000000000e+02,2.200000000000000000e+01,7.769924417253505453e+03
1.520000000000000000e+02,2.200000000000000000e+01,2.515402270840517667e+04
1.520000000000000000e+02,2.500000000000000000e+01,1.380982800935717023e+04
1.600000000000000000e+02,2.500000000000000000e+01,1.530797865011931208e+04
2.000000000000000000e+02,2.300000000000000000e+01,1.324263197547486925e+03
1.600000000000000000e+02,2.500000000000000000e+01,9.814153083048056942e+03
9.700000000000000000e+01,2.400000000000000000e+01,5.704846046643143382e+03
9.500000000000000000e+01,3.300000000000000000e+01,1.839035659014435078e+04
9.700000000000000000e+01,2.400000000000000000e+01,1.239037890882737520e+04
9.500000000000000000e+01,2.500000000000000000e+01,2.732906709627965756e+04
9.500000000000000000e+01,2.400000000000000000e+01,2.303642056312730347e+04
9.500000000000000000e+01,3.300000000000000000e+01,2.536303218421339261e+04
9.500000000000000000e+01,2.400000000000000000e+01,2.839224081998343172e+04
9.500000000000000000e+01,2.500000000000000000e+01,9.569349853889689257e+03
9.700000000000000000e+01,2.400000000000000000e+01,3.371206439861381659e+04
9.500000000000000000e+01,3.300000000000000000e+01,1.241741044509043786e+04
1.420000000000000000e+02,2.400000000000000000e+01,2.599027561413395961e+04
6.800000000000000000e+01,4.100000000000000000e+01,1.069544914771685171e+02
1.020000000000000000e+02,3.000000000000000000e+01,1.867615099034340892e+04
6.800000000000000000e+01,3.800000000000000000e+01,1.890447699101785838e+04
6.800000000000000000e+01,3.800000000000000000e+01,1.235778405885616991e+02
6.800000000000000000e+01,3.800000000000000000e+01,1.663855410350726379e+04
8.800000000000000000e+01,3.000000000000000000e+01,1.033479355708202638e+04
1.450000000000000000e+02,2.400000000000000000e+01,1.737006687375170077e+04
1.430000000000000000e+02,2.700000000000000000e+01,3.368803667779298848e+04
2.070000000000000000e+02,2.500000000000000000e+01,3.580891017923010077e+04
2.070000000000000000e+02,2.500000000000000000e+01,2.284099273193760746e+04
2.070000000000000000e+02,2.500000000000000000e+01,2.130646261852014140e+04
2.880000000000000000e+02,2.800000000000000000e+01,2.306458376041276642e+04
1.045490196078431353e+02,3.100000000000000000e+01,2.077636972092124779e+03
1.045490196078431353e+02,3.100000000000000000e+01,8.548625706182301656e+03
1.100000000000000000e+02,2.800000000000000000e+01,1.160316898665265035e+04
1.100000000000000000e+02,2.800000000000000000e+01,1.563486537261871672e+04
1.100000000000000000e+02,2.800000000000000000e+01,4.037102643661016828e+02
1.100000000000000000e+02,2.800000000000000000e+01,1.266971493965513901e+03
1.600000000000000000e+02,2.600000000000000000e+01,2.783602640422648255e+04
