Vendor,Address,Second Address,City,Zip Code,County,Location
STATER BROS. #156,780 SYCAMORE AVE,,VISTA,92083,SAN DIEGO,"(33.163168, -117.21785)"
STATER BROS. #147,10114 ADAMS AVE,,HUNTINGTON BEACH,92646,ORANGE,"(33.672341, -117.9506)"
STATER BROS. #052,4721 RIVERSIDE AVE,,CHINO,91710,SAN BERNARDINO,"(34.018447, -117.7016)"
STATER BROS. #040,N 2360 TUSTIN AVE,,SANTA ANA,92705,ORANGE,"(33.768139, -117.83703)"
ABC NUTRITIONAL CARE,N 4827 HUNTINGTON DR,STE B,LOS ANGELES,90032,LOS ANGELES,"(34.086135, -118.17936)"
STATER BROS. #024,E 1522 HIGHLAND AVE,,SAN BERNARDINO,92404,SAN BERNARDINO,"(34.136918, -117.25415)"
STATER BROS. #116,4059 PHELAN RD,,PHELAN,92371,SAN BERNARDINO,"(34.425368, -117.57357)"
STATER BROS. #043,E 168 BASELINE AVE,,RIALTO,92376,SAN BERNARDINO,"(34.12267, -117.36956)"
STATER BROS. #066,N 1741 KELLOGG DR,,ANAHEIM,92807,ORANGE,"(33.865997, -117.80497)"
STATER BROS. #171,550 HIDDEN VALLEY PKWY,,CORONA,92879,RIVERSIDE,"(33.898607, -117.5555)"
STATER BROS. #192,2841 MARY ST,,RIVERSIDE,92506,RIVERSIDE,"(33.934114, -117.38717)"
STATER BROS. #084,13200 PALM DR,,DESERT HOT SPRINGS,92240,RIVERSIDE,"(33.952321, -116.50012)"
SUPER KING MARKET #2,N 2716 SAN FERNANDO RD,,LOS ANGELES,90065,LOS ANGELES,"(34.109646, -118.24304)"
STATER BROS. #006,E 1830 ROUTE 66,,GLENDORA,91740,LOS ANGELES,"(34.127318, -117.83006)"
STATER BROS. #193,11875 PIGEON PASS RD,STE A,MORENO VALLEY,92557,RIVERSIDE,"(33.947817, -117.26266)"
STATER BROS. #169,14250 CHINO HILLS PKWY,,CHINO HILLS,91709,SAN BERNARDINO,"(33.993861, -117.7587)"
STATER BROS. #023,34460 YUCAIPA BLVD,,YUCAIPA,92399,SAN BERNARDINO,"(34.033876, -117.05254)"
STATER BROS. #106,N 375 AZUSA AVE,,WEST COVINA,91791,LOS ANGELES,"(34.077143, -117.90943)"
STATER BROS. #057,E 1145 ALOSTA AVE,,AZUSA,91702,LOS ANGELES,"(34.129408, -117.88288)"
STATER BROS. #128,78-630 HIGHWAY 111,,LA QUINTA,92253,RIVERSIDE,"(33.715547, -116.29302)"
STATER BROS. #049,W 1055 FOOTHILL BLVD,,CLAREMONT,91711,LOS ANGELES,"(34.107934, -117.73551)"
STATER BROS. #136,N 333 EUCLID ST,,FULLERTON,92832,ORANGE,"(33.872965, -117.94249)"
STATER BROS. #117,E 2053 WASHINGTON ST,,COLTON,92324,SAN BERNARDINO,"(34.050168, -117.29124)"
STATER BROS. #061,S 1045 BLOOMINGTON AVE,,BLOOMINGTON,92316,SAN BERNARDINO,"(34.074863, -117.38978)"
STATER BROS. #095,18140 ARROW BLVD,,FONTANA,92335,SAN BERNARDINO,"(34.100684, -117.40888)"
STATER BROS. #133,N 851 HARBOR BLVD,,LA HABRA,90631,ORANGE,"(33.939941, -117.93385)"
STATER BROS. #185,14425 MORENO BEACH DR,,MORENO VALLEY,92555,RIVERSIDE,"(33.911247, -117.17531)"
STATER BROS. #127,69255 RAMON RD,,CATHEDRAL CITY,92234,RIVERSIDE,"(33.814958, -116.45647)"
STATER BROS. #028,E 1800 COLLINS AVE,,ORANGE,92867,ORANGE,"(33.801743, -117.83469)"
STATER BROS. #070,12523 ALONDRA BLVD,,NORWALK,90650,LOS ANGELES,"(33.888443, -118.06554)"
STATER BROS. #112,1536 BARTON RD,,REDLANDS,92373,SAN BERNARDINO,"(34.046701, -117.20654)"
EL CARRUCEL FOOD NUTRITION,E 1818 COMPTON BLVD,,COMPTON,90221,LOS ANGELES,"(33.895739, -118.20314)"
STATER BROS. #168,20677 AMAR RD,,WALNUT,91789,LOS ANGELES,"(34.042655, -117.85162)"
STATER BROS. #187,29995 CANYON HILLS RD,,LAKE ELSINORE,92532,RIVERSIDE,"(33.666324, -117.26215)"
PAYLESS FOODS #10,E 620 EL SEGUNDO BLVD,,LOS ANGELES,90059,LOS ANGELES,"(33.915331, -118.26473)"
STATER BROS. #077,11085 WARNER AVE,,FOUNTAIN VALLEY,92708,ORANGE,"(33.716999, -117.93549)"
STATER BROS. #121,S 1537 SAN JACINTO AVE,,SAN JACINTO,92583,RIVERSIDE,"(33.77229, -116.9567)"
S & M NUTRITION #2,12039 LONG BEACH BLVD,,LYNWOOD,90262,LOS ANGELES,"(33.918187, -118.20983)"
STATER BROS. #114,2995 IOWA AVE,,RIVERSIDE,92507,RIVERSIDE,"(33.985828, -117.34141)"
MOMMY'S NUTRITIONAL CENTER,S 141 HARBOR BLVD,,LA HABRA,90631,ORANGE,"(33.931443, -117.93305)"
STATER BROS. #105,71727 TWENTYNINE PALMS HWY,,TWENTYNINE PALMS,92277,SAN BERNARDINO,"(34.134496, -116.09727)"
STATER BROS. #042,6160 ARLINGTON AVE,,RIVERSIDE,92504,RIVERSIDE,"(33.945366, -117.43595)"
STATER BROS. #082,24931 SUNNYMEAD BLVD,,MORENO VALLEY,92553,RIVERSIDE,"(33.937381, -117.22739)"
LA CHIQUITA FAMILY NUTR CTR,N 437 H ST,STE D,LOMPOC,93436,SANTA BARBARA,"(34.645031, -120.4582)"
STATER BROS. #062,1288 BORDER AVE,,CORONA,92882,RIVERSIDE,"(33.869357, -117.59419)"
STATER BROS. #001,9225 MAGNOLIA AVE,,RIVERSIDE,92503,RIVERSIDE,"(33.92386, -117.44202)"
STATER BROS. #160,E 6501 SPRING ST,,LONG BEACH,90808,LOS ANGELES,"(33.811346, -118.10554)"
STATER BROS. #081,25630 BARTON RD,,LOMA LINDA,92354,SAN BERNARDINO,"(34.049361, -117.24579)"
STATER BROS. #134,12800 LA MIRADA BLVD,,LA MIRADA,90638,LOS ANGELES,"(33.915962, -118.01135)"
STATER BROS. #118,13760 BEAR VALLEY RD,,VICTORVILLE,92392,SAN BERNARDINO,"(34.471371, -117.36277)"
STATER BROS. #139,25050 HANCOCK AVE,,MURRIETA,92562,RIVERSIDE,"(33.571257, -117.18297)"
STATER BROS. #195,W 3125 FLORIDA AVE,,HEMET,92545,RIVERSIDE,"(33.747362, -117.00457)"
STATER BROS. #154,11300 FIRESTONE BLVD,,NORWALK,90650,LOS ANGELES,"(33.917796, -118.09254)"
STATER BROS. #103,1193 MAGNOLIA AVE,,CORONA,92879,RIVERSIDE,"(33.865318, -117.54637)"
ALHAMBRA MARKET,W 2289 MAIN ST,,ALHAMBRA,91801,LOS ANGELES,"(34.093828, -118.1482)"
ALSHAIF MARKET,801 HAVEN DR,,ARVIN,93203,KERN,"(35.204992, -118.83398)"
STATER BROS. #174,36010 HIDDEN SPRINGS RD,,WILDOMAR,92595,RIVERSIDE,"(33.597207, -117.24776)"
AMAR RANCH FOOD WAREHOUSE,E 1111 CHANNEL ISLANDS BLVD,,OXNARD,93033,VENTURA,"(34.174359, -119.16472)"
A MART,N 115 SEVENTH ST,,FOWLER,93625,FRESNO,"(36.630398, -119.68021)"
STATER BROS. #119,43396 FLORIDA AVE,,HEMET,92544,RIVERSIDE,"(33.748637, -116.90386)"
AMIGO MARKET,W 2400 WARDLOW RD,,LONG BEACH,90810,LOS ANGELES,"(33.824027, -118.22355)"
STATER BROS. #111,25904 NEWPORT RD,,SUN CITY,92584,RIVERSIDE,"(33.686628, -117.20668)"
STATER BROS. #142,22351 EL TORO RD,,LAKE FOREST,92630,ORANGE,"(33.638388, -117.68008)"
STATER BROS. #032,8888 CHAPMAN AVE,,GARDEN GROVE,92841,ORANGE,"(33.787866, -117.9771)"
STATER BROS. #098,16750 LAKESHORE DR,,LAKE ELSINORE,92530,RIVERSIDE,"(33.686833, -117.36803)"
AMIGOS MARKET,E 3706 OLIVE AVE,,FRESNO,93702,FRESNO,"(36.757509, -119.76326)"
BABIES NUTRITION,W 2960 LINCOLN AVE,,ANAHEIM,92801,ORANGE,"(33.831464, -117.99223)"
STATER BROS. #157,N 1451 SANTA FE AVE,,VISTA,92084,SAN DIEGO,"(33.220326, -117.24373)"
STATER BROS. #087,1904 RANCHO AVE,,COLTON,92324,SAN BERNARDINO,"(34.090582, -117.33279)"
STATER BROS. #161,11815 ARTESIA BLVD,,ARTESIA,90701,LOS ANGELES,"(33.874221, -118.0809)"
STATER BROS. #073,9575 CENTRAL AVE,,MONTCLAIR,91763,SAN BERNARDINO,"(34.080319, -117.68872)"
STATER BROS. #003,E 151 VALLEY BLVD,,COLTON,92324,SAN BERNARDINO,"(34.06733, -117.3234)"
STATER BROS. #137,E 11750 WHITTIER BLVD,,WHITTIER,90601,LOS ANGELES,"(33.980032, -118.05179)"
ANGELITOS NUTRITION,E 4787 KINGS CANYON RD,102,FRESNO,93702,FRESNO,"(36.735994, -119.73709)"
ANGELITO'S NUTRITION #1,E 4000 GAGE AVE,,BELL,90201,LOS ANGELES,"(33.979676, -118.20248)"
ANGELITO'S NUTRITION #2,S 2526 SAN PEDRO ST,,LOS ANGELES,90011,LOS ANGELES,"(34.022001, -118.26105)"
ANGELITO'S NUTRITION #3,E 5985 FLORENCE AVE,UNIT M,BELL GARDENS,90201,LOS ANGELES,"(33.970346, -118.18838)"
STATER BROS. #019,N 1045 GAREY AVE,,POMONA,91767,LOS ANGELES,"(34.068311, -117.75288)"
STATER BROS. #179,11225 SIERRA AVE,,FONTANA,92337,SAN BERNARDINO,"(34.050263, -117.43415)"
STATER BROS. #190,16904 MAIN ST,,HESPERIA,92345,SAN BERNARDINO,"(34.421428, -117.29452)"
STATER BROS. #176,14168 HIGHWAY 395,,ADELANTO,92301,SAN BERNARDINO,"(34.507696, -117.4009)"
APATZINGAN MARKET,901 OAKLAND RD,,SAN JOSE,95112,SANTA CLARA,"(37.359352, -121.89138)"
STATER BROS. #167,9909 CARMEL MOUNTAIN RD,,SAN DIEGO,92129,SAN DIEGO,"(32.959709, -117.11363)"
STATER BROS. #126,1717 VISTA CHINO,,PALM SPRINGS,92262,RIVERSIDE,"(33.844487, -116.52561)"
STATER BROS. #140,N 635 BROADWAY,,ESCONDIDO,92025,SAN DIEGO,"(33.127305, -117.08615)"
STATER BROS. #164,S 17220 LAKEWOOD BLVD,,BELLFLOWER,90706,LOS ANGELES,"(33.889448, -118.14258)"
STATER BROS. #065,N 1619 MOUNTAIN AVE,,UPLAND,91786,SAN BERNARDINO,"(34.12224, -117.67177)"
ARCOIRIS,S 600 INDIANA ST,,LOS ANGELES,90023,LOS ANGELES,"(34.028143, -118.19214)"
ARTEAGA'S FOOD CENTER,1340 FULTON AVE,,SACRAMENTO,95825,SACRAMENTO,"(38.590207, -121.40108)"
STATER BROS. #123,15235 HOOK BLVD,,VICTORVILLE,92394,SAN BERNARDINO,"(34.520322, -117.33139)"
ARTEAGAS FOOD CENTER,S 6906 CHESTNUT ST,,GILROY,95020,SANTA CLARA,"(36.996808, -121.56003)"
STATER BROS. #008,W 1085 HIGHLAND AVE,,SAN BERNARDINO,92405,SAN BERNARDINO,"(34.134534, -117.30814)"
STATER BROS. #085,1939 FOURTH ST,,ONTARIO,91764,SAN BERNARDINO,"(34.07745, -117.58455)"
STATER BROS. #022,4680 LA SIERRA AVE,,RIVERSIDE,92505,RIVERSIDE,"(33.916191, -117.48763)"
EL OSITO NUTRITIONAL CENT,N 631 MOUNT VERNON AVE,,SAN BERNARDINO,92411,SAN BERNARDINO,"(34.110852, -117.31343)"
STATER BROS. #108,W 646 HOLT BLVD,,ONTARIO,91762,SAN BERNARDINO,"(34.06408, -117.65962)"
STATER BROS. #029,2630 EDINGER ST,,SANTA ANA,92704,ORANGE,"(33.730979, -117.93603)"
STATER BROS. #191,E 1775 LUGONIA AVE,,REDLANDS,92374,SAN BERNARDINO,"(34.071295, -117.13932)"
STATER BROS. #068,1999 RIVER RD,,NORCO,92860,RIVERSIDE,"(33.914205, -117.58773)"
BABIES CHOICE NUTRITION,1872 SANTA FE AVE,,LONG BEACH,90810,LOS ANGELES,"(33.791225, -118.21539)"
BABY BONG SUA MARKET,10252 WESTMINSTER AVE,,GARDEN GROVE,92843,ORANGE,"(33.759525, -117.95103)"
STATER BROS. #053,8770 BASELINE AVE,,RANCHO CUCAMONGA,91701,SAN BERNARDINO,"(34.122745, -117.6146)"
STATER BROS. #044,2790 HAMNER AVE,,NORCO,92860,RIVERSIDE,"(33.922785, -117.56003)"
BABY & INFANTS NUTRITIONAL,9648 9TH AVE,STE 3,HESPERIA,92345,SAN BERNARDINO,"(34.425713, -117.32041)"
STATER BROS. #129,E 1040 BASTANCHURY RD,,FULLERTON,92835,ORANGE,"(33.898286, -117.91117)"
BABY & MOM NUTRITION,S 119 HARBOR BLVD,,SANTA ANA,92703,ORANGE,"(33.744401, -117.91999)"
STATER BROS. #060,18527 YORBA LINDA BLVD,,YORBA LINDA,92886,ORANGE,"(33.890091, -117.80995)"
STATER BROS. #184,6989 SCHAEFER AVE,,CHINO,91710,SAN BERNARDINO,"(34.00361, -117.65242)"
STATER BROS. #166,S 610 BROOKHURST ST,,ANAHEIM,92804,ORANGE,"(33.824046, -117.95794)"
BABY NUTRITIONAL CARE #101,32970 ALVARADO NILES RD,STE 752,UNION CITY,94587,ALAMEDA,"(37.594087, -122.04607)"
BABY NUTRITIONAL CARE #102,39180 STATE ST,,FREMONT,94538,ALAMEDA,"(37.549396, -121.98332)"
BABY NUTRITIONAL CARE #104,7632 GREENBACK LN,,CITRUS HEIGHTS,95610,SACRAMENTO,"(38.678213, -121.28356)"
STATER BROS. #144,E 1850 AVENUE J,,LANCASTER,93535,LOS ANGELES,"(34.688214, -118.09582)"
BABY NUTRITIONAL CARE #107,831 BROADWAY,,SACRAMENTO,95818,SACRAMENTO,"(38.564441, -121.50211)"
BABY NUTRITIONAL CARE #108,E 8233 STOCKTON BLVD,,SACRAMENTO,95828,SACRAMENTO,"(38.459672, -121.40982)"
BABY NUTRITIONAL CARE #109,S 314 CRESCENT AVE,,LODI,95240,SAN JOAQUIN,"(38.129546, -121.28301)"
BABY NUTRITIONAL CARE #110,10661 COLOMA RD,,RANCHO CORDOVA,95670,SACRAMENTO,"(38.611523, -121.29079)"
BABY NUTRITIONAL CARE #151,1416 MITCHELL RD,SUITE A,MODESTO,95351,STANISLAUS,"(37.610485, -120.93832)"
STATER BROS. #122,14466 MAIN ST,,HESPERIA,92345,SAN BERNARDINO,"(34.427765, -117.34852)"
STATER BROS. #148,7101 WARNER AVE,,HUNTINGTON BEACH,92647,ORANGE,"(33.716291, -118.00472)"
STATER BROS. #150,3770 MISSION AVE,,OCEANSIDE,92054,SAN DIEGO,"(33.226473, -117.33335)"
STATER BROS. #162,13589 POWAY RD,,POWAY,92064,SAN DIEGO,"(32.955858, -117.03784)"
BABY NUTRITIONAL CARE #30,N 620 AURORA ST,SUITE #5,STOCKTON,95202,SAN JOAQUIN,"(37.960969, -121.28057)"
BABY NUTRITIONAL CARE #9,900 MARKET ST,STE A,OAKLAND,94607,ALAMEDA,"(37.803737, -122.28159)"
STATER BROS. #094,81056 US HIGHWAY 111,,INDIO,92201,RIVERSIDE,"(33.709021, -116.2502)"
STATER BROS. #101,E 957 ARMORY RD,,BARSTOW,92311,SAN BERNARDINO,"(34.884724, -117.0139)"
BABY NUTRITIONAL CENTER,S 4705 BROADWAY,,LOS ANGELES,90037,LOS ANGELES,"(34.000838, -118.27834)"
BABY NUTRITIONAL CENTER,W 130 LA HABRA,,LA HABRA,90631,ORANGE,"(33.931866, -117.94668)"
BABY NUTRITIONAL CENTER,S 1706 WESTERN AVE,,LOS ANGELES,90006,LOS ANGELES,"(34.041709, -118.309)"
BABY NUTRITIONAL CENTER,S 6001 VERMONT AVE,UNIT C,LOS ANGELES,90044,LOS ANGELES,"(33.985522, -118.29186)"
BABY NUTRITIONAL CENTER,6526 CRENSHAW BLVD,,LOS ANGELES,90043,LOS ANGELES,"(33.980109, -118.33086)"
BABY NUTRITIONAL CENTER,12436 BROOKHURST ST,,GARDEN GROVE,92840,ORANGE,"(33.782058, -117.95849)"
BABY NUTRITIONAL CENTER,S 4123 HOOVER ST,,LOS ANGELES,90037,LOS ANGELES,"(34.008581, -118.28722)"
BABY NUTRITIONAL CENTER,3871 WHITTIER BLVD,,LOS ANGELES,90023,LOS ANGELES,"(34.023917, -118.18979)"
ANGELS FAMILY NUTRITION,1152 7TH ST,,WASCO,93280,KERN,"(35.594229, -119.33882)"
STATER BROS. #141,26900 SIERRA HWY,,SANTA CLARITA,91321,LOS ANGELES,"(34.404141, -118.46515)"
STATER BROS. #045,N 919 MOUNTAIN AVE,,UPLAND,91786,SAN BERNARDINO,"(34.105671, -117.67075)"
BABY SHOP #2,W 4739 SHAW AVE,STE 106,FRESNO,93722,FRESNO,"(36.808158, -119.87934)"
RALPHS #127,19781 RINALDI ST,,PORTER RANCH,91326,LOS ANGELES,"(34.276015, -118.56398)"
STATER BROS. #177,30712 BENTON RD,,WINCHESTER,92596,RIVERSIDE,"(33.592394, -117.12235)"
BABY SHOP #6,N 3636 1ST ST,128,FRESNO,93726,FRESNO,"(36.783138, -119.77152)"
STATER BROS. #037,14171 RED HILL AVE,,TUSTIN,92780,ORANGE,"(33.732143, -117.81789)"
STATER BROS. #056,W 1425 ARROW HWY,,SAN DIMAS,91773,LOS ANGELES,"(34.107353, -117.83663)"
BABY'S NUTRITION,S 205 4TH ST,,CHOWCHILLA,93610,MADERA,"(37.12076, -120.261)"
STATER BROS. #069,9155 JURUPA RD,,GLEN AVON,92509,RIVERSIDE,"(33.998686, -117.48313)"
BABY'S NUTRITION #2,N 919 BROADWAY,STE B,SANTA MARIA,93454,SANTA BARBARA,"(34.96248, -120.43582)"
BABY'S NUTRITION #3,S 1543 BROADWAY,,SANTA MARIA,93454,SANTA BARBARA,"(34.932689, -120.4361)"
BABY'S NUTRITION #4,S 425 BLOSSER RD,,SANTA MARIA,93458,SANTA BARBARA,"(34.948559, -120.45423)"
STATER BROS. #075,41849 FLORIDA AVE,,HEMET,92543,RIVERSIDE,"(33.747341, -116.93173)"
BABY'S NUTRITION #5,N 908 H ST,,LOMPOC,93436,SANTA BARBARA,"(34.652195, -120.4573)"
STATER BROS. #131,N 1131 STATE COLLEGE BLVD,,ANAHEIM,92806,ORANGE,"(33.849538, -117.89033)"
STATER BROS. #173,1430 BEAUMONT AVE,,BEAUMONT,92223,RIVERSIDE,"(33.948186, -116.97598)"
STATER BROS. #181,78210 VARNER RD,,PALM DESERT,92211,RIVERSIDE,"(33.761562, -116.29893)"
STATER BROS. #163,1674 MAIN ST,,RAMONA,92065,SAN DIEGO,"(33.035172, -116.87924)"
STATER BROS. #035,1175 BAKER ST,BLDG C,COSTA MESA,92626,ORANGE,"(33.679792, -117.90657)"
STATER BROS. #151,2170 VISTA WAY,,OCEANSIDE,92054,SAN DIEGO,"(33.182014, -117.3445)"
BANCROFT MARKET & LIQUOR,3650 BANCROFT DR,,SPRING VALLEY,91977,SAN DIEGO,"(32.746464, -117.00349)"
BANU HASHIM MRKTPLCE & DELI,6172 UNIVERSITY AVE,,SAN DIEGO,92115,SAN DIEGO,"(32.753715, -117.06278)"
